,Create_Post_fixation_durations,Content_Image_fixation_durations,Content_Hybrid_fixation_durations,Content_Video_fixation_durations,Content_Text_fixation_durations,Interaction_Element_fixation_durations,Comment_fixation_durations,Create_Post_fixation_Number,Content_Image_fixation_Number,Content_Hybrid_fixation_Number,Content_Video_fixation_Number,Content_Text_fixation_Number,Interaction_Element_fixation_Number,Comment_fixation_Number,Create_Post_fixation_TTFF,Content_Image_fixation_TTFF,Content_Hybrid_fixation_TTFF,Content_Video_fixation_TTFF,Content_Text_fixation_TTFF,Interaction_Element_fixation_TTFF,Comment_fixation_TTFF,CommentFrequency,Content_HybridFrequency,Content_ImageFrequency,Content_TextFrequency,Content_VideoFrequency,Create_PostFrequency,Interaction_ElementFrequency
P001,0.0,971.2647080921736,153.2211746269665,0.0,300.84631581871645,20.436450927146,180.3791083984336,0.0,4.619570549784416,0.9350899933642244,0.0,1.4615105028562458,0.1439186685010282,1.0307377622767635,20000.0,6521.0,17013.0,20000.0,192.0,10350.0,1318.0,2.0,1.0,2.0,3.0,0.0,1.0,4.0
P002,2.303416458002729,462.2793804608247,194.75823596791957,0.0,0.0,0.0,47.40983890519537,0.007678054860009097,1.6794891206569469,0.7447733689021784,0.0,0.0,0.0,0.15803279635065126,850.0,1193.0,9798.0,20000.0,20000.0,20000.0,11095.0,3.0,3.0,4.0,0.0,0.0,1.0,6.0
P003,2.4409670891404907,305.1496085946501,163.6001551613432,0.0,134.0429285542441,21.024604209356948,0.0,0.009388334958232658,0.8054097224537117,0.5377162043100845,0.0,0.5853402993635114,0.06938813270414834,0.0,830.0,360.0,5876.0,20000.0,10515.0,11901.0,20000.0,0.0,2.0,3.0,2.0,0.0,1.0,6.0
P004,1.0124952687136977,342.8552372949829,0.0,0.0,0.0,4.536278717474133,14.485913617226087,0.009462572604800913,1.2191956622122837,0.0,0.0,0.0,0.022128188865727483,0.07009313040593268,782.0,1376.0,20000.0,20000.0,20000.0,7038.0,7475.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0
P005,26.17787540970239,361.7245459685372,397.1955187727352,0.0,76.48679919557037,81.05506933575134,4.746642191695498,0.10113796037232088,1.279082552929764,1.8388681424663669,0.0,0.4042642663613657,0.21232500153438466,0.02260305805569285,885.0,13184.0,1159.0,20000.0,17756.0,4795.0,12950.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0
P006,2.074385793160044,1169.533443229508,70.01806337113386,0.0,0.0,19.51259065943595,28.18833420914345,0.010529877122639813,5.274328205645016,0.32490980682660725,0.0,0.0,0.08181379731419684,0.17551889295855205,1046.0,1272.0,16827.0,20000.0,20000.0,12701.0,13007.0,1.0,1.0,4.0,0.0,0.0,1.0,4.0
P007,0.0,444.4583713266282,275.6696871575573,0.0,77.39836673868625,0.0,15.96732672470394,0.0,2.536541117273084,1.1523581906261104,0.0,0.30418572080706385,0.0,0.06348837663898188,20000.0,396.0,3632.0,20000.0,14791.0,20000.0,19417.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0
P008,0.0,191.69723507943482,335.37702594077615,0.0,248.2508104243,26.40394922380827,0.0,0.0,0.6670049933174488,1.651425650918881,0.0,1.2601563980928934,0.09104810077175267,0.0,20000.0,12657.0,389.0,20000.0,10457.0,5858.0,20000.0,1.0,2.0,2.0,2.0,0.0,1.0,3.0
P010,0.0,279.3635203156263,1189.3230997138346,0.0,0.0,27.86225374969676,0.0,0.0,1.526020686356298,5.755949665886678,0.0,0.0,0.1789866407903432,0.0,20000.0,7408.0,459.0,20000.0,20000.0,5475.0,20000.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0
P011,4.521703666092304,1798.3142261799826,0.0,0.0,79.56351101082579,57.84102119574168,9.603101152147826,0.02260851833046152,5.695158912649619,0.0,0.0,0.5063707940227578,0.3044264273460089,0.0397643940047529,688.0,1511.0,20000.0,20000.0,12243.0,5441.0,16519.0,1.0,0.0,4.0,1.0,0.0,1.0,4.0
P013,1.4585149291785322,0.0,99.20222654358798,27.74818006980381,0.0,5.046141981425369,0.0,0.008733622330410373,0.0,0.5075281169093443,0.1828545638866808,0.0,0.02705706156260252,0.0,677.0,20000.0,400.0,6923.0,20000.0,6589.0,20000.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0
P015,2.9406837038546367,852.0635344836833,0.0,92.23969671946553,105.78185142685557,27.75143722228777,14.28603601188242,0.012620960102380415,3.333023046317844,0.0,0.3074656557315517,0.4870998530783832,0.17201304063401507,0.04762012003960807,825.0,1075.0,20000.0,5587.0,11640.0,7954.0,14793.0,1.0,0.0,3.0,2.0,1.0,1.0,5.0
P016,3.4997372569626903,0.0,569.6489000746742,0.0,0.0,19.551445086705197,5.972523531635183,0.013998949027850762,0.0,2.2483026799789805,0.0,0.0,0.04443510246978455,0.051934987231610295,443.0,20000.0,729.0,20000.0,20000.0,6152.0,14240.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
P018,8.352521382539946,118.71490783021292,25.713915757192893,157.4020942609512,0.0,109.22046385073295,6.445242430187872,0.02449419760275644,0.7587820953703324,0.09802000923961716,0.5891531912449827,0.0,0.40427068667760496,0.012968294628144613,1049.0,2026.0,13951.0,12964.0,20000.0,4522.0,12434.0,1.0,1.0,3.0,0.0,3.0,1.0,7.0
P019,3.9811545300770974,249.57496890964032,97.11652480187851,21.87597911690268,125.59517274641355,5.2457471796574735,15.235249488665184,0.024651111641344262,1.149761834657434,0.3961629799610428,0.14113534914130765,0.5161445455332063,0.02123784283262135,0.034083332189407574,690.0,410.0,6363.0,11679.0,15205.0,12642.0,14578.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0
