,Create_Post_fixation_durations,Content_Image_fixation_durations,Content_Hybrid_fixation_durations,Content_Video_fixation_durations,Content_Text_fixation_durations,Interaction_Element_fixation_durations,Comment_fixation_durations,Create_Post_fixation_Number,Content_Image_fixation_Number,Content_Hybrid_fixation_Number,Content_Video_fixation_Number,Content_Text_fixation_Number,Interaction_Element_fixation_Number,Comment_fixation_Number,Create_Post_fixation_TTFF,Content_Image_fixation_TTFF,Content_Hybrid_fixation_TTFF,Content_Video_fixation_TTFF,Content_Text_fixation_TTFF,Interaction_Element_fixation_TTFF,Comment_fixation_TTFF,CommentFrequency,Content_HybridFrequency,Content_ImageFrequency,Content_TextFrequency,Content_VideoFrequency,Create_PostFrequency,Interaction_ElementFrequency
P001,0.0,2523.0,1147.0,0.0,2676.0,284.0,700.0,0.0,12.0,7.0,0.0,13.0,2.0,4.0,20000.0,6521.0,17013.0,20000.0,192.0,10350.0,1318.0,2.0,1.0,2.0,3.0,0.0,1.0,4.0
P002,300.0,3303.0,2615.0,0.0,0.0,0.0,900.0,1.0,12.0,10.0,0.0,0.0,0.0,3.0,850.0,1193.0,9798.0,20000.0,20000.0,20000.0,11095.0,3.0,3.0,4.0,0.0,0.0,1.0,6.0
P003,260.0,3031.0,2434.0,0.0,1832.0,606.0,0.0,1.0,8.0,8.0,0.0,8.0,2.0,0.0,830.0,360.0,5876.0,20000.0,10515.0,11901.0,20000.0,0.0,2.0,3.0,2.0,0.0,1.0,6.0
P004,107.0,3937.0,0.0,0.0,0.0,410.0,620.0,1.0,14.0,0.0,0.0,0.0,2.0,3.0,782.0,1376.0,20000.0,20000.0,20000.0,7038.0,7475.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0
P005,1553.0,1414.0,2808.0,0.0,946.0,1527.0,210.0,6.0,5.0,13.0,0.0,5.0,4.0,1.0,885.0,13184.0,1159.0,20000.0,17756.0,4795.0,12950.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0
P006,197.0,5987.0,1293.0,0.0,0.0,477.0,803.0,1.0,27.0,6.0,0.0,0.0,2.0,5.0,1046.0,1272.0,16827.0,20000.0,20000.0,12701.0,13007.0,1.0,1.0,4.0,0.0,0.0,1.0,4.0
P007,0.0,1577.0,2153.0,0.0,2290.0,0.0,503.0,0.0,9.0,9.0,0.0,9.0,0.0,2.0,20000.0,396.0,3632.0,20000.0,14791.0,20000.0,19417.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0
P008,0.0,1437.0,2437.0,0.0,2955.0,580.0,0.0,0.0,5.0,12.0,0.0,15.0,2.0,0.0,20000.0,12657.0,389.0,20000.0,10457.0,5858.0,20000.0,1.0,2.0,2.0,2.0,0.0,1.0,3.0
P010,0.0,2746.0,4959.0,0.0,0.0,467.0,0.0,0.0,15.0,24.0,0.0,0.0,3.0,0.0,20000.0,7408.0,459.0,20000.0,20000.0,5475.0,20000.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0
P011,400.0,6631.0,0.0,0.0,1257.0,950.0,483.0,2.0,21.0,0.0,0.0,8.0,5.0,2.0,688.0,1511.0,20000.0,20000.0,12243.0,5441.0,16519.0,1.0,0.0,4.0,1.0,0.0,1.0,4.0
