,YPixels_per_Second,Global_Fixations,Global_Saccades,Global_Saccade_Duration,Global_Saccade_Amplitude,Global_Fixation_Duration,Global_Fixation_IQR,Global_Fixation_Mean,Global_Fixation_Std,Global_Saccade_Duration_IQR,Global_Saccade_Duration_Mean,Global_Saccade_Duration_Std,Global_Saccade_Amplitude_IQR,Global_Saccade_Amplitude_Mean,Global_Saccade_Amplitude_Std
P001,128.35,78,92,3115,440.29,16436,92.25,210.7179413,128.286026,33,33.85869598,27.84841728,6.5,5.718051948,5.044324857
P002,256.65,62,75,2322,310.92,17131,176.25,276.3064575,155.6964264,27,30.95999908,38.71965408,7.43,5.09704918,4.476219143
P003,210.45,60,68,2351,361.73,17437,176.5,290.6166687,183.913208,20,34.57352829,42.30780792,5.185,6.131016949,5.336112719
P004,185.55,71,108,2897,313.29,15878,96.5,223.6338043,127.9278336,27,26.82407379,27.74581337,3.5875,4.475571429,4.209361078
P005,121.15,67,86,2623,446.43,16189,124.5,241.6268616,152.9095764,25.25,30.5,23.7005291,7.455,6.764090909,5.301785469
P006,200.75,81,97,2876,394.49,16763,117,206.9506226,90.64418793,27,29.64948463,26.32040405,4.655,4.931125,4.37352304
P007,91.4,84,98,2803,341.47,16942,84.75,201.6904755,82.71033478,19,28.60204124,36.47384644,4.735,4.114096386,4.799689532
P008,164.25,80,84,2619,328.78,17572,98.5,219.6499939,95.88770294,20,31.1785717,46.37968826,3.99,4.161772152,3.215851668
P010,172.75,84,118,4058,266.16,16000,84.75,190.4761963,91.31896973,34,34.38983154,45.22318268,2.1,3.206746988,2.437428727
P011,154.1,67,81,2415,307.6,17372,167,259.2835693,182.214798,27,29.81481552,26.61852646,6.1775,4.660606061,4.710543943
P013,216.1,97,118,2970,358.8,16949,93,174.7319641,91.1805191,23,25.16949081,36.22652054,4.22,3.7375,3.540311315
P015,147,70,100,3085,385.98,16208,108.25,231.5428619,115.791275,30,30.85000038,23.04837227,4.98,5.593913043,5.75626544
P016,142.5,59,78,2598,329.21,14477,131.5,245.372879,144.5524902,26,33.30769348,22.97618866,4.595,5.676034483,5.311299421
P018,268.1,66,100,3268,349.3,16468,158.25,249.515152,132.6320038,40,32.68000031,28.9167366,4.96,5.373846154,5.193250034
P019,170.35,77,81,2480,327.91,17803,120,231.2077942,132.1070251,20,30.61728477,29.60337448,3.795,4.314605263,4.325835392
P020,101.05,71,91,3257,313.33,16556,124.5,233.1831055,119.3900375,20,35.79121017,86.40126038,3.275,4.476142857,3.232724114
P022,58.55,70,77,1782,215.46,18167,134,259.5285645,132.6503143,17,23.1428566,14.55282784,2.67,3.122608696,4.511518152
