,Label,Feature_Group,Algorithm,Accuracy_Mean,Accuracy_Std,F1-Macro_Mean,F1-Macro_Std,Baseline_Accuracy,pvalues_f1,reject_null,pvalue_f1_bh
1,Conscientiousness,aoi,SVC,0.3722222222222222,0.07157832625958403,0.3427948097625734,0.08074081231189174,0.361,0.135,False,0.14625
2,Conscientiousness,aoi,ridge,0.4222222222222222,0.09525793444156803,0.39993145014491926,0.10271629947499654,0.361,0.007,True,0.0455
3,Conscientiousness,aoi_prop,SVC,0.37777777777777777,0.07157832625958402,0.3317741723987472,0.07023982160854399,0.361,0.104,False,0.14625
4,Conscientiousness,aoi_prop,ridge,0.42777777777777776,0.08534606386520675,0.3979492581219647,0.07892901838603952,0.361,0.005,True,0.0455
5,Conscientiousness,aoi_prop,naive,0.38888888888888884,0.049690399499995326,0.378736346935984,0.05305184036252356,0.361,0.058,False,0.10771428571428572
6,Conscientiousness,aoi_prop_v_frequency,ridge,0.38888888888888895,0.055555555555555546,0.37016118892549094,0.06581227433840549,0.361,0.058,False,0.10771428571428572
7,Conscientiousness,aoi_prop_v_frequency,naive,0.3888888888888889,0.05826715823167507,0.38036029590570486,0.060339224195731365,0.361,0.058,False,0.10771428571428572
8,Conscientiousness,aoi_v_frequency,ridge,0.38888888888888884,0.10686324478706304,0.3706265186957184,0.11252239064344231,0.361,0.058,False,0.10771428571428572
9,Conscientiousness,aoi_v_frequency,naive,0.3611111111111111,0.07856742013183861,0.3517031877308736,0.07991067342735486,0.361,0.213,False,0.213
10,Conscientiousness,ems_viewing_info,SVC,0.37222222222222223,0.05719794522770555,0.36337849386538384,0.06607071495106077,0.361,0.135,False,0.14625
11,Conscientiousness,page_content_info,knn,0.3722222222222222,0.1048220125784067,0.3684963706281337,0.1132171507040581,0.361,0.135,False,0.14625
12,Conscientiousness,page_content_info,SVC,0.4,0.041573970964154904,0.3906898296588501,0.050433385213249235,0.361,0.03,False,0.10771428571428572
13,Conscientiousness,page_content_info,naive,0.38333333333333336,0.040824829046386304,0.3704238532530052,0.04545327793121098,0.361,0.079,False,0.128375
14,Extroversion,ems_viewing_info,SVC,0.43888888888888883,0.04779069592801459,0.4154562690805575,0.047442164644193915,0.406,0.002,True,0.003
15,Extroversion,ems_viewing_info,ridge,0.49444444444444435,0.053863109526848106,0.47602754605260317,0.05131751765018259,0.406,0.0,True,0.0
16,Extroversion,ems_viewing_info,naive,0.4111111111111111,0.10304020550550783,0.3512383088930734,0.1235491294429069,0.406,0.015,True,0.015
17,Neuroticism,aoi,naive,0.3555555555555555,0.06666666666666665,0.3342140606236716,0.07201576651309992,0.35,0.258,False,0.258
18,Neuroticism,ems_viewing_info,naive,0.3666666666666667,0.08498365855987976,0.33934113523476733,0.11554812818625924,0.35,0.167,False,0.258
0,Openness,ems_viewing_info,SVC,0.4166666666666667,0.03042903097250922,0.34585622263041615,0.016131795727151156,0.4,0.01,True,0.01
